Harmony 4 All - Blog Metrics Report 2025

SUMMARY METRICS
Metric,Value
Total Blogs,260
Published Blogs,260
Draft Blogs,0
Featured Blogs,2
Total Views,7497
Total Likes,29
Total Shares,1
Total Comments,0
Average Views per Blog,28.83
Average Likes per Blog,0.11
Average Shares per Blog,0.00
Average Comments per Blog,0.00

CATEGORY BREAKDOWN
Category,Blog Count,Total Views,Total Likes,Total Shares
Uncategorized,260,7497,29,1

WRITER PERFORMANCE
Writer Name,Total Blogs,Published Blogs,Total Views,Total Likes,Total Shares
Arifur Rahman,63,63,1990,1,0
Bianca Quaddus,67,67,1855,13,0
Joshua Quaddus,107,107,3223,15,0
Harmony 4 All,23,23,429,0,1

MONTHLY BREAKDOWN
Month,Total Blogs,Published Blogs,Total Views,Total Likes,Total Shares
2025-10,18,18,332,0,0
2025-11,17,17,329,0,0
2025-12,8,8,133,0,0
2025-01,0,0,0,0,0
2025-02,0,0,0,0,0
2025-03,0,0,0,0,0
2025-04,0,0,0,0,0
2025-05,0,0,0,0,0
2025-06,0,0,0,0,0
2025-07,0,0,0,0,0
2025-08,193,193,6446,29,0
2025-09,24,24,257,0,1

INDIVIDUAL BLOG DETAILS
Title,Status,Category,Writer,Views,Likes,Shares,Comments Count,Created Date,Published Date,Is Featured
"The Page and the Pulse: Western Notation and the Erasure of Global Traditions","published","Uncategorized","Bianca Quaddus",65,0,0,0,"2025-08-20","2025-05-19",true
"Rediscovering Ernie Henry: A Short-Lived Genius of the Bebop Era","published","Uncategorized","Joshua Quaddus",14,0,0,0,"2025-08-20","2025-01-15",false
"Louise Farrenc: A Forgotten Virtuoso ","published","Uncategorized","Bianca Quaddus",9,1,0,0,"2025-08-20","2024-11-04",false
"Julia Wolfe's ""Anthracite Fields"": A Sonic Chronicle of Labor and Lament","published","Uncategorized","Bianca Quaddus",27,0,0,0,"2025-08-20","2024-10-14",false
"Quartet for The End of Time","published","Uncategorized","Bianca Quaddus",38,1,0,0,"2025-08-20","2024-05-13",false
"Daniel Bernard Roumain and the Radical Urgency of Sound","published","Uncategorized","Bianca Quaddus",47,0,0,0,"2025-08-20","2025-04-21",false
"George Walker's Legacy Through 'Lyric for Strings'","published","Uncategorized","Bianca Quaddus",35,1,0,0,"2025-08-20","2023-10-15",false
"Reena Esmail and the Space Between Traditions","published","Uncategorized","Bianca Quaddus",4,0,0,0,"2025-08-20","2025-04-14",false
"Chineke! Orchestra and the Sound of Change in Classical Music","published","Uncategorized","Bianca Quaddus",19,0,0,0,"2025-08-20","2025-02-10",false
"Justin Holland: A 19th-Century Guitar Luminary and Activist","published","Uncategorized","Bianca Quaddus",15,0,0,0,"2025-08-20","2025-07-14",false
"The Miles Davis Quintet: Jazzing Up the Civil Rights Movement","published","Uncategorized","Joshua Quaddus",21,0,0,0,"2025-08-20","2024-01-08",false
"How to Improvise","published","Uncategorized","Joshua Quaddus",15,2,0,0,"2025-08-20","2023-07-31",false
"Kenny Garrett’s ‘Hargrove’ Album: A Profound Encapsulation of the Black Soul","published","Uncategorized","Joshua Quaddus",110,0,0,0,"2025-08-20","2024-07-23",false
"Julia Wolfe's ""Anthracite Fields"": A Sonic Chronicle of Labor and Lament","published","Uncategorized","Bianca Quaddus",1,0,0,0,"2025-08-20","2024-06-17",false
"George Walker: The Composer Who Redefined American Classical Music","published","Uncategorized","Bianca Quaddus",11,0,0,0,"2025-08-20","2025-03-03",false
"In Two Tongues_ Carnatic Musicians Bridging East and West","published","Uncategorized","Bianca Quaddus",66,0,0,0,"2025-08-20","2025-05-12",false
"Allan Gilliland: Crafting Cultural Conversation Through Music","published","Uncategorized","Bianca Quaddus",8,0,0,0,"2025-08-20","2025-07-07",false
"Sound as Witness: Ensemble Pi and the Politics of Performance","published","Uncategorized","Bianca Quaddus",25,0,0,0,"2025-08-20","2025-05-26",false
"Joel Ross’s “Nublues” Album: A Jazz Revolution with a Nod to the Past","published","Uncategorized","Joshua Quaddus",13,0,0,0,"2025-08-20","2024-10-16",false
"Ethel Smyth and the Sound of Defiance","published","Uncategorized","Bianca Quaddus",18,0,0,0,"2025-08-20","2025-08-18",false
"Chevalier de Saint-Georges: Music's Unsung Virtuoso","published","Uncategorized","Bianca Quaddus",2,0,0,0,"2025-08-20","2023-09-18",false
"A Sonic Blueprint for Freedom: The Legacy and Language of M-Base","published","Uncategorized","Joshua Quaddus",85,0,0,0,"2025-08-20","2025-05-28",false
"The Music of Carla Bley: An Underlooked Innovator to Avant-garde Jazz","published","Uncategorized","Joshua Quaddus",10,3,0,0,"2025-08-20","2023-07-18",false
"The Restless Intellect of Bunky Green","published","Uncategorized","Joshua Quaddus",55,0,0,0,"2025-08-20","2025-04-16",false
"Pharoah Sanders, the Sonic Seeker of Spiritual Jazz, Transcended Borders and Boundaries","published","Uncategorized","Joshua Quaddus",43,0,0,0,"2025-08-20","2025-04-09",false
"Amy Beach: Unveiling the Legacy of a Pioneering Composer","published","Uncategorized","Bianca Quaddus",10,0,0,0,"2025-08-20","2023-09-11",false
"Chou Wen-Chung and the Architecture of Cultural Inheritance","published","Uncategorized","Bianca Quaddus",15,0,0,0,"2025-08-20","2025-06-16",false
"Jazz's Heavy Influence on Hip-Hop Today","published","Uncategorized","Joshua Quaddus",22,1,0,0,"2025-08-20","2023-09-04",false
"Wayne Shorter: The Architect of Jazz's Mystical Future","published","Uncategorized","Joshua Quaddus",18,0,0,0,"2025-08-20","2025-07-23",false
"The Music of Arturo Márquez","published","Uncategorized","Bianca Quaddus",59,0,0,0,"2025-08-20","2024-04-29",false
"A Profile On The Work And Music Of Hildegard von Bingen","published","Uncategorized","Bianca Quaddus",226,3,0,0,"2025-08-20","2023-07-18",false
"The Boulanger Sisters","published","Uncategorized","Bianca Quaddus",42,0,0,0,"2025-08-20","2024-10-21",false
"Jessie Montgomery’s Expanding Canon","published","Uncategorized","Bianca Quaddus",8,0,0,0,"2025-08-20","2025-06-30",false
"Anthony McGill: The Clarinet Virtuoso Who Became a Symbol of Change","published","Uncategorized","Bianca Quaddus",41,0,0,0,"2025-08-20","2025-02-17",false
"Jazz's Vanguard of Activism: the Enduring Legacy of Charles Mingus","published","Uncategorized","Joshua Quaddus",110,1,0,0,"2025-08-20","2024-06-17",false
"Electric Alchemy: Revisiting Miles Davis’s Live-Evil, a Sonic Statement Beyond Jazz","published","Uncategorized","Joshua Quaddus",9,0,0,0,"2025-08-20","2025-06-25",false
"Sonic Pilgrimage: John Coltrane’s Live in Japan Captures the Saxophonist at the Height of His Spiritual Fire","published","Uncategorized","Joshua Quaddus",12,0,0,0,"2025-08-20","2025-07-02",false
"The Benny Goodman Trio and its Contribution to Inclusivity in Jazz","published","Uncategorized","Joshua Quaddus",49,0,0,0,"2025-08-20","2023-08-15",false
"Fats Navarro: The Brilliant Trumpeter Who Burned Bright and Brief","published","Uncategorized","Joshua Quaddus",54,0,0,0,"2025-08-20","2025-02-12",false
"Jazz at Lincoln Center Orchestra: Bridging Tradition and Innovation in the Heart of New York","published","Uncategorized","Joshua Quaddus",13,0,0,0,"2025-08-20","2024-12-25",false
"""Miles Davis' 'Bitches Brew': A Revolutionary Jazz Odyssey that Redefined Musical Frontiers""","published","Uncategorized","Joshua Quaddus",10,0,0,0,"2025-08-20","2024-06-25",false
"Donald Byrd: The Jazz Legend Who Bridged Genres and Generations","published","Uncategorized","Joshua Quaddus",19,0,0,0,"2025-08-20","2024-09-25",false
"How Billie Holiday’s “Strange Fruit” Fought for Civil Rights","published","Uncategorized","Joshua Quaddus",43,2,0,0,"2025-08-20","2023-07-24",false
"Charles Lloyd: The Eternal Seeker of Sound and Spirit","published","Uncategorized","Joshua Quaddus",17,0,0,0,"2025-08-20","2025-07-16",false
"The Unshakable Swing of Count Basie’s Band","published","Uncategorized","Joshua Quaddus",14,0,0,0,"2025-08-20","2025-08-13",false
"John Coltrane's Sonic Activism: How His Late Compositions Resonated with the Civil Rights Movement","published","Uncategorized","Joshua Quaddus",20,0,0,0,"2025-08-20","2024-04-28",false
"The Best Jazz Albums of 1924: A Century-Old Celebration","published","Uncategorized","Joshua Quaddus",65,0,0,0,"2025-08-20","2025-01-01",false
"Mark Turner: The Tenor Saxophonist Redefining Jazz Modernism","published","Uncategorized","Joshua Quaddus",38,0,0,0,"2025-08-20","2025-02-26",false
"Sun Ra: The Cosmic Jazz Prophet Who Redefined Music","published","Uncategorized","Joshua Quaddus",38,0,0,0,"2025-08-20","2025-03-19",false
"A Jazz Odyssey: King Oliver's Creole Jazz Band and the Birth of a Musical Revolution","published","Uncategorized","Joshua Quaddus",53,0,0,0,"2025-08-20","2024-07-09",false
"John McLaughlin and the Electric Storm: The Guitarist Who Supercharged Bitches Brew","published","Uncategorized","Joshua Quaddus",88,0,0,0,"2025-08-20","2025-01-29",false
"Miles Davis: The Conductor of the 1960's Civil Rights Movement","published","Uncategorized","Joshua Quaddus",357,1,0,0,"2025-08-20","2023-12-04",false
"Jazz: The Harmonious Melting Pot of Music, Promoting Diversity and Inclusion","published","Uncategorized","Joshua Quaddus",44,0,0,0,"2025-08-20","2023-11-05",false
"Sonny Rollins: The Colossus of Saxophone and the Eternal Student of Jazz","published","Uncategorized","Joshua Quaddus",40,0,0,0,"2025-08-20","2025-01-23",false
"Ron Carter’s Third Plane: A Masterclass in Subtlety, Swing, and Musical Democracy","published","Uncategorized","Joshua Quaddus",32,0,0,0,"2025-08-20","2025-07-09",false
"Jazz Innovator Pat Metheny Continues to Shape the Music World","published","Uncategorized","Joshua Quaddus",7,0,0,0,"2025-08-20","2024-08-28",false
"Pianist in the Background","published","Uncategorized","Joshua Quaddus",26,0,0,0,"2025-08-20","2023-11-20",false
"Have You Ever Been Inside The Human Heart?: ""The Inflated Tear"" by Rahsaan Roland Kirk","published","Uncategorized","Joshua Quaddus",7,0,0,0,"2025-08-20","2023-08-21",false
"Ahmad Jamal, Architect of Space and Subtlety in Jazz, Leaves a Lasting Legacy","published","Uncategorized","Joshua Quaddus",18,0,0,0,"2025-08-20","2025-08-06",false
"How Eric Dolphy Made me Forget What the Tonic Was","published","Uncategorized","Joshua Quaddus",10,0,0,0,"2025-08-20","2023-09-18",false
"Artemis: An All-Female Jazz Band That is Killing it","published","Uncategorized","Joshua Quaddus",9,0,0,0,"2025-08-20","2024-06-02",false
"Gerald Clayton and the Art of Musical Conversation","published","Uncategorized","Joshua Quaddus",26,0,0,0,"2025-08-20","2025-02-05",false
"The Legacy of Jazz in A Tribe Called Quest’s The Low End Theory – Reinventing the Beat","published","Uncategorized","Joshua Quaddus",36,0,0,0,"2025-08-20","2024-11-06",false
"Backstage with Def Leppard","published","Uncategorized","Joshua Quaddus",23,0,0,0,"2025-08-20","2024-07-14",false
"Albert Ayler: The Visionary Who Reshaped the Boundaries of Jazz","published","Uncategorized","Joshua Quaddus",72,0,0,0,"2025-08-20","2025-04-30",false
"Billie Holiday's Haunting Hymns: A Symphony of Protest in Troubled Times","published","Uncategorized","Joshua Quaddus",12,0,0,0,"2025-08-20","2024-05-14",false
"Duke Ellington's ""Creole Love Call"": A Transformative Moment in Jazz Vocalization","published","Uncategorized","Joshua Quaddus",31,0,0,0,"2025-08-20","2024-10-30",false
"Moose the Mooche: The Sad Stories of Addiction Caused by the Tough Lives of Jazz Musicians","published","Uncategorized","Joshua Quaddus",50,0,0,0,"2025-08-20","2023-09-11",false
"A Lost Gem Unearthed: Joe Henderson’s Forces of Nature: Live at Slugs","published","Uncategorized","Joshua Quaddus",9,0,0,0,"2025-08-20","2024-11-27",false
"Sam Rivers: The Tenor Saxophonist Who Shaped Jazz's Avant-Garde","published","Uncategorized","Joshua Quaddus",34,0,0,0,"2025-08-20","2024-06-24",false
"The Bebop Revolution: How Jazz Redefined Itself","published","Uncategorized","Joshua Quaddus",70,1,0,0,"2025-08-20","2025-01-08",false
"Sonny Rollins and the Bridge: A Saxophonist’s Journey of Reinvention","published","Uncategorized","Joshua Quaddus",11,0,0,0,"2025-08-20","2024-12-04",false
"Greg Osby: The Visionary Saxophonist Who Redefined Jazz's Boundaries","published","Uncategorized","Joshua Quaddus",8,0,0,0,"2025-08-20","2024-10-23",false
"Ornette Coleman: A Jazz Pioneer's Soundtrack to the Civil Rights Movement","published","Uncategorized","Joshua Quaddus",34,0,0,0,"2025-08-20","2024-05-27",false
"Wynton Marsalis's ""Black Codes"": A Sonic Chronicle of Resilience Amidst Civil Rights Struggles","published","Uncategorized","Joshua Quaddus",8,0,0,0,"2025-08-20","2024-07-01",false
"Coltrane in Japan: A Sonic Journey of Spiritual Jazz at Shinjuku Kosei Nenkin Hall","published","Uncategorized","Joshua Quaddus",30,0,0,0,"2025-08-20","2024-08-21",false
"Tony Williams: The Drummer Who Redefined Time Itself","published","Uncategorized","Joshua Quaddus",71,0,0,0,"2025-08-20","2025-06-11",false
"Dusseldorf, 1960 – A Coltrane-Getz Amalgamation of Beauty in Jazz","published","Uncategorized","Joshua Quaddus",20,0,0,0,"2025-08-20","2025-02-19",false
"Gil Scott-Heron: The Voice That Declared 'The Revolution Will Not Be Televised","published","Uncategorized","Joshua Quaddus",13,0,0,0,"2025-08-20","2024-09-04",false
"Don Cherry: The Boundary-Pushing Jazz Visionary","published","Uncategorized","Joshua Quaddus",27,0,0,0,"2025-08-20","2025-03-12",false
"Ambrose Akinmusire: Jazz’s Visionary Herald of the Unspoken","published","Uncategorized","Joshua Quaddus",8,0,0,0,"2025-08-20","2024-11-20",false
"Jazz: A Timeless Tale of Resilience and Expression","published","Uncategorized","Joshua Quaddus",24,1,0,0,"2025-08-20","2023-10-15",false
"Roy Hargrove: The Timeless Virtuoso of Jazz and Beyond","published","Uncategorized","Joshua Quaddus",26,0,0,0,"2025-08-20","2024-12-18",false
"""Miles Davis' 'Bitches Brew': A Revolutionary Jazz Odyssey that Redefined Musical Frontiers""","published","Uncategorized","Joshua Quaddus",33,0,0,0,"2025-08-20","2024-11-13",false
"Gerry Mulligan: The Baritone Voice That Redefined Cool","published","Uncategorized","Joshua Quaddus",14,1,0,0,"2025-08-20","2025-07-30",false
